file,lhs,op,rhs,beta,se,z,pval,level,sub_membership
FisherData10,accepted,~,energetic,0.233155496371417,0.0786416788677215,2.96478279365823,0.00302896707142297,ind,2
FisherData10,accepted,~,positive,0.385605998385694,0.0773961922817792,4.9822347458878,6.2854118310085E-07,sub,2
FisherData11,energetic,~,energeticlag,0.404097922469802,0.0794278109021568,5.08761248585323,3.62599323011636E-07,group,2
FisherData11,enthusiastic,~,enthusiasticlag,0.333410632849258,0.0589581024138653,5.65504348340168,1.55806822998983E-08,group,2
FisherData11,content,~,contentlag,0.351402732091713,0.0650809798514762,5.39946898300644,6.68384381175002E-08,group,2
FisherData11,positive,~,positivelag,0.346812883886074,0.056533637460785,6.13462885926353,8.53582315940571E-10,group,2
FisherData11,accepted,~,acceptedlag,0.62678940405849,0.0556867321364852,11.2556327155679,0,group,2
FisherData11,enthusiastic,~,energetic,0.607553424596827,0.0537271538941884,11.3081259765473,0,group,2
FisherData11,content,~,positive,0.524151281266974,0.0618947896758596,8.46842333598567,0,group,2
FisherData11,positive,~,enthusiastic,0.5616035634484,0.0531160646228977,10.5731395470571,0,group,2
FisherData11,energetic,~,accepted,0.328903013900695,0.0842130982483581,3.90560400628779,9.39903213199589E-05,ind,2
FisherData11,accepted,~,positive,0.292923361338489,0.0662139280327389,4.42389343211379,9.69378509774188E-06,sub,2
FisherData12,energetic,~,energeticlag,0.364779952249296,0.073398040397317,4.96988680180936,6.69920009910285E-07,group,2
FisherData12,enthusiastic,~,enthusiasticlag,0.458834792771024,0.118696317950717,3.8656194285785,0.0001108076096763,group,2
FisherData12,content,~,contentlag,0.204379161150693,0.0683092988764553,2.99196689926996,0.00277186315775313,group,2
FisherData12,positive,~,positivelag,0.471104356310918,0.0818692362563164,5.75435142494775,8.69750582666029E-09,group,2
FisherData12,accepted,~,acceptedlag,0.581600250627555,0.0615688943537883,9.44633254717152,0,group,2
FisherData12,enthusiastic,~,energetic,0.18370263445474,0.184200378672497,0.997297811104711,0.318619975898168,group,2
FisherData12,content,~,positive,0.67103929650395,0.056879981226876,11.7974598800831,0,group,2
FisherData12,positive,~,enthusiastic,0.520125468362141,0.0628872897542705,8.27075662497955,2.22044604925031E-16,group,2
FisherData12,positive,~,accepted,0.275703292545562,0.0735556521090114,3.74822715373338,0.000178088930606002,ind,2
FisherData12,energetic,~,enthusiastic,0.522345809087639,0.116449545140501,4.48559767629327,7.27098273389792E-06,ind,2
FisherData12,positive,~,enthusiasticlag,-0.250902018073272,0.077834830253769,-3.22351853604926,0.00126626102982041,ind,2
FisherData12,accepted,~,positive,0.295223703670838,0.078743225677076,3.74919494511875,0.00017740314591097,sub,2
FisherData13,energetic,~,energeticlag,0.268713992095704,0.0673986379432776,3.98693505233522,6.69323382176401E-05,group,3
FisherData13,enthusiastic,~,enthusiasticlag,0.349380845523759,0.0611969828769814,5.70911880126652,1.1356260376516E-08,group,3
FisherData13,content,~,contentlag,0.589018520881059,0.0722399575395803,8.15363880243612,4.44089209850063E-16,group,3
FisherData13,positive,~,positivelag,0.29629490787036,0.0672417191949792,4.40641481832432,1.05095610016814E-05,group,3
FisherData13,accepted,~,acceptedlag,0.172667422469204,0.0749408951594907,2.304048038147,0.0212199471245922,group,3
FisherData13,enthusiastic,~,energetic,0.53318553968318,0.067403784982642,7.9103204637616,2.66453525910038E-15,group,3
FisherData13,content,~,positive,0.686175929571512,0.0650590294302335,10.5469745795599,0,group,3
FisherData13,positive,~,enthusiastic,0.605365029884912,0.0697511714503735,8.67892276641714,0,group,3
FisherData13,energetic,~,positive,0.614205731666383,0.0692420476537199,8.87041548421606,0,ind,3
